orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,HMIS-MIAR-MNC- Cases Antenatal Visit- First,HMIS-MIAR-MNC- Cases Antenatal Visit – Second,HMIS-MIAR-MNC- Cases Antenatal Visit – Third,HMIS-MIAR-MNC- Cases Antenatal Visit – Fourth,HMIS-MIAR-MNC- Cases Antenatal Visit – Other,HMIS-MIAR-MNC- Cases Postnatal Visit – First,HMIS-MIAR-MNC- Cases Postnatal Visit – Second,HMIS-MIAR-MNC- Cases Postnatal Visit – Other,HMIS-MIAR-OPD- New Patients/Clients,HMIS-MNC- Cases/Admit Women received uterotonic in the third stage of labor,HMIS-MNC- Cases/Admit Antepartum Hemorrhage,HMIS- Cases/Admit Postpartum Hemorrhage,HMIS-MNC- Cases/Admit Eclampsia,HMIS-MNC- Cases/Admit Pre-eclampsia,HMIS- Cases/admit Normal delivery at facility,HMIS- Cases/Admit Assisted delivery at facility,HMIS-HMIR-MNC- Admit Cesarean Section,HMIS-MNC- Cases/Admit Babies breastfeeding at 1st hours of Birth,HMIS-MNC- Cases/Admit Newborn resuscitated,HMIS-MNC- Cases/Admit Low Birth Weight,HMIS-MNC- Cases/Admit Newborn Alive,HMIS-MNC- Neonatal Death due,HMIS-MNC- Stillbirth,HMIS-MNC- Stillbirth Fresh,HMIS-MNC- Stillbirth Rotten,HMIS- Cases/Admit Sepsis,HMIS-MNC- Cases/Admit Asphyxia,HMIS-MNC- Cases/Admit Other Neonatal Complication,HMIS-MNC- Cases/Admit Premature,HMIS-MNC- Neonatal Death due preterm Birth,HMIS-MNC- Neonatal Death due Sepsis,HMIS-MNC- Neonatal Death due Other causes,HMIS-MNC- Neonatal Death due Asphyxia,HMIS- Maternal deaths at the clinics,HMIS- Total number of Neonatal deaths
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202503,March 2025,202503,,4,8,7,2,10,2,4,2,128,2,,,,,2,,,,,,2,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202504,April 2025,202504,,10,5,8,6,4,5,3,4,121,4,,,,,4,,,4,,,4,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202505,May 2025,202505,,9,8,5,8,7,4,7,3,152,2,,,,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202506,June 2025,202506,,5,6,9,4,11,6,5,6,111,3,,,,,3,,,3,,,3,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202507,July 2025,202507,,11,7,4,5,5,3,2,3,190,2,,,,,2,,,2,,,2,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202508,August 2025,202508,,6,10,5,3,9,6,6,3,112,4,,,,,4,,,4,,,4,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202509,September 2025,202509,,6,6,10,1,4,4,4,5,129,4,,,,,4,,,4,,,4,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202510,October 2025,202510,,7,5,7,6,3,3,3,2,147,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202511,November 2025,202511,,12,8,6,6,10,10,6,4,123,10,,,,,10,,,10,,,10,,,,,,,,,,,,,,
Afghanistan,North East,Badakhshan,Darwaz-e-Payen (Nusai),BADARD -E-SHURIYAN FHH (9515),M7PByFxqWcx,BADARD -E-SHURIYAN FHH (9515),AF-F- 9515,,202512,December 2025,202512,,20,13,7,11,14,9,14,12,342,8,,,,,8,,,8,,2,9,,,,,,,,,,,,,,
